year,titles_released,total_sales_m,avg_metacritic,avg_user_score,pct_online,pct_microtransactions,pct_dlc,avg_launch_price,goty_games,avg_htlb
1985,847,18106.27,74.934,7.495,0.511,0.248,0.699,50.273,6,24.156
1986,826,18630.19,75.132,7.503,0.489,0.245,0.695,50.396,4,22.871
1987,822,18056.44,75.191,7.518,0.502,0.242,0.695,51.839,7,23.418
1988,814,17387.19,75.371,7.56,0.495,0.247,0.643,52.588,14,24.863
1989,883,17746.1,75.19,7.5,0.489,0.266,0.644,48.28,10,25.234
1990,820,17152.72,75.507,7.534,0.511,0.251,0.687,52.313,2,24.967
1991,804,16972.96,74.545,7.423,0.51,0.235,0.682,52.757,5,24.838
1992,804,17022.28,75.109,7.471,0.526,0.27,0.672,50.599,5,23.539
1993,831,17425.87,75.314,7.547,0.495,0.26,0.708,48.811,9,24.421
1994,838,16919.36,75.579,7.55,0.499,0.251,0.696,52.037,5,26.925
1995,1188,19416.57,73.167,7.303,0.501,0.252,0.648,53.719,4,22.921
1996,1189,19693.94,73.494,7.349,0.526,0.265,0.629,52.917,7,24.865
1997,1212,20797.88,72.988,7.291,0.51,0.272,0.644,54.491,6,24.175
1998,1218,20382.75,73.431,7.365,0.501,0.259,0.625,52.699,10,25.912
1999,1225,21266.58,73.457,7.378,0.52,0.253,0.656,49.084,8,24.738
2000,1215,20692.71,73.077,7.323,0.5,0.265,0.647,45.407,5,25.583
2001,1224,22104.95,73.739,7.405,0.513,0.252,0.65,47.278,7,23.127
2002,1223,21732.33,73.042,7.324,0.513,0.235,0.639,46.953,6,24.549
2003,1232,23408.26,73.436,7.334,0.502,0.249,0.599,44.833,6,25.198
2004,1178,23133.98,73.337,7.333,0.491,0.26,0.68,42.237,10,26.334
2005,1147,21488.25,73.09,7.325,0.509,0.269,0.66,43.308,6,25.879
2006,1173,22877.78,73.396,7.34,0.501,0.24,0.621,46.751,3,24.123
2007,1249,24945.27,73.273,7.339,0.504,0.247,0.641,44.631,3,24.978
2008,1214,29315.9,73.122,7.303,0.487,0.246,0.622,39.65,9,24.895
2009,1190,28868.59,73.034,7.351,0.519,0.245,0.65,39.601,10,26.224
2010,1422,41616.49,74.262,7.411,0.528,0.246,0.608,33.398,8,24.266
2011,1439,36568.09,74.33,7.424,0.503,0.248,0.589,35.634,9,26.749
2012,1361,39679.36,74.35,7.446,0.517,0.272,0.602,36.717,10,25.296
2013,1403,38899.65,74.364,7.452,0.504,0.243,0.603,40.121,13,24.655
2014,1368,34372.29,74.275,7.397,0.517,0.258,0.567,37.24,10,24.651
2015,1380,41050.76,74.318,7.474,0.521,0.421,0.567,37.469,15,24.156
2016,1382,44318.82,74.55,7.473,0.504,0.397,0.575,35.446,9,23.961
2017,1412,46612.49,73.892,7.373,0.506,0.445,0.604,35.959,10,24.553
2018,1327,45476.73,74.006,7.375,0.509,0.443,0.588,31.784,12,24.789
2019,1437,44217.23,74.264,7.438,0.497,0.434,0.612,28.955,12,24.644
2020,1415,49368.41,74.261,7.409,0.506,0.415,0.586,32.857,12,25.092
2021,1345,48597.14,73.987,7.378,0.506,0.423,0.596,33.515,9,26.68
2022,1335,47045.16,74.065,7.44,0.5,0.423,0.585,35.107,5,25.658
2023,1415,50671.77,74.184,7.43,0.497,0.435,0.585,35.291,6,24.241
2024,1376,59186.48,74.214,7.452,0.515,0.42,0.57,34.395,10,25.151
2025,1395,57142.36,74.353,7.471,0.503,0.429,0.575,36.44,9,24.272
2026,1422,61368.56,74.337,7.393,0.519,0.437,0.604,37.406,12,24.932
